Day,Date,CodedDay,Zone,Weather,Temperature,Traffic
Friday,18-08-23,3,4,13,25,5
Saturday,19-08-23,3,2,35,43,1
Sunday,20-08-23,3,10,50,18,5
Monday,21-08-23,3,2,37,39,2
Tuesday,22-08-23,3,1,41,31,4
Wednesday,23-08-23,3,3,14,9,1
Thursday,24-08-23,3,4,19,29,2
Friday,25-08-23,3,9,35,19,3
Saturday,26-08-23,3,10,11,35,1
Sunday,27-08-23,3,1,44,23,4
Monday,28-08-23,3,6,10,38,3
Tuesday,29-08-23,3,7,33,23,1
Wednesday,30-08-23,3,8,22,36,5
Thursday,31-08-23,3,3,23,15,5
Friday,01-09-23,3,9,44,28,2
Saturday,02-09-23,3,2,41,11,5
Sunday,03-09-23,3,8,11,33,5
Monday,04-09-23,3,4,41,7,3
Tuesday,05-09-23,3,2,20,35,5
Wednesday,06-09-23,3,5,37,23,4
Thursday,07-09-23,3,10,34,31,5
Friday,08-09-23,3,4,49,38,2
Saturday,09-09-23,3,5,27,20,1
Sunday,10-09-23,3,1,17,25,3
Monday,11-09-23,3,10,48,13,5
Tuesday,12-09-23,3,10,15,18,1
Wednesday,13-09-23,3,1,10,16,1
Thursday,14-09-23,3,3,29,37,3
Friday,15-09-23,3,1,42,22,5
Saturday,16-09-23,3,6,50,5,4
Sunday,17-09-23,3,5,23,43,4
Monday,18-09-23,3,3,32,12,5
Tuesday,19-09-23,3,3,23,37,3
Wednesday,20-09-23,3,3,33,42,3
Thursday,21-09-23,3,7,25,6,4
Friday,22-09-23,3,9,31,42,2
Saturday,23-09-23,3,2,34,7,4
Sunday,24-09-23,3,2,47,9,2
Monday,25-09-23,3,8,21,13,2
Tuesday,26-09-23,3,9,15,14,4
Wednesday,27-09-23,3,1,29,28,4
Thursday,28-09-23,3,6,33,19,3
Friday,29-09-23,3,5,50,28,3
Saturday,30-09-23,3,3,33,9,2
Sunday,01-10-23,3,5,11,26,1
Monday,02-10-23,3,1,31,13,4
Tuesday,03-10-23,3,7,40,31,3
Wednesday,04-10-23,3,5,38,8,5
Thursday,05-10-23,3,8,41,35,2
Friday,06-10-23,3,8,20,18,4
Saturday,07-10-23,3,7,48,26,2
Sunday,08-10-23,3,8,10,41,2
Monday,09-10-23,3,3,39,35,4
Tuesday,10-10-23,3,7,28,31,5
Wednesday,11-10-23,3,2,44,27,2
Thursday,12-10-23,3,6,21,13,1
Friday,13-10-23,3,5,11,7,5
Saturday,14-10-23,3,6,20,19,4
Sunday,15-10-23,3,9,29,11,4
Monday,16-10-23,3,10,29,24,5
Tuesday,17-10-23,3,10,48,17,1
Wednesday,18-10-23,3,9,42,21,3
Thursday,19-10-23,3,5,33,34,3
Friday,20-10-23,3,3,16,5,3
Saturday,21-10-23,3,6,34,37,2
Sunday,22-10-23,3,6,27,44,1
Monday,23-10-23,3,9,26,10,1
Tuesday,24-10-23,3,9,46,43,1
Wednesday,25-10-23,3,7,18,43,5
Thursday,26-10-23,3,6,22,16,4
Friday,27-10-23,3,10,26,19,1
Saturday,28-10-23,3,5,49,23,3
Sunday,29-10-23,3,7,48,38,5
Monday,30-10-23,3,6,50,10,2
Tuesday,31-10-23,3,7,39,41,4
Wednesday,01-11-23,3,7,11,29,4
Thursday,02-11-23,3,7,47,41,4
Friday,03-11-23,3,2,41,23,2
Saturday,04-11-23,3,7,47,38,3
Sunday,05-11-23,3,3,11,36,3
Monday,06-11-23,3,4,11,27,3
Tuesday,07-11-23,3,9,13,32,1
Wednesday,08-11-23,3,10,17,11,5
Thursday,09-11-23,3,8,34,16,3
Friday,10-11-23,3,6,43,10,2
Saturday,11-11-23,3,3,31,7,5
Sunday,12-11-23,3,4,20,6,4
Monday,13-11-23,3,5,37,9,2
Tuesday,14-11-23,3,6,50,5,4
Wednesday,15-11-23,3,2,23,39,1
Thursday,16-11-23,3,8,32,36,2
Friday,17-11-23,3,8,38,11,2
Saturday,18-11-23,3,8,10,7,1
Sunday,19-11-23,3,3,34,21,1
Monday,20-11-23,3,3,10,7,3
Tuesday,21-11-23,3,6,14,9,4
Wednesday,22-11-23,3,7,47,6,5
Thursday,23-11-23,3,10,28,34,2
Friday,24-11-23,3,6,23,19,1
Saturday,25-11-23,3,9,23,35,4
Sunday,26-11-23,3,9,34,39,3
Monday,27-11-23,3,10,18,16,5
Tuesday,28-11-23,3,8,20,40,5
Wednesday,29-11-23,3,5,50,21,5
Thursday,30-11-23,3,1,19,7,3
Friday,01-12-23,3,7,42,12,4
Saturday,02-12-23,3,4,38,42,4
Sunday,03-12-23,3,10,22,35,1
Monday,04-12-23,3,6,30,6,4
Tuesday,05-12-23,3,2,40,39,2
Wednesday,06-12-23,3,2,39,36,3
Thursday,07-12-23,3,7,27,44,3
Friday,08-12-23,3,10,34,14,4
Saturday,09-12-23,3,10,22,25,2
Sunday,10-12-23,3,4,42,27,3
Monday,11-12-23,3,10,21,43,4
Tuesday,12-12-23,3,4,48,23,2
Wednesday,13-12-23,3,9,28,14,5
Thursday,14-12-23,3,8,35,6,1
Friday,15-12-23,3,3,48,18,4
Saturday,16-12-23,3,8,28,9,3
Sunday,17-12-23,3,1,24,11,1
Monday,18-12-23,3,8,27,25,5
Tuesday,19-12-23,3,8,27,41,2
Wednesday,20-12-23,3,3,36,17,5
Thursday,21-12-23,3,10,27,21,5
Friday,22-12-23,3,5,29,19,4
Saturday,23-12-23,3,2,25,14,3
Sunday,24-12-23,3,2,22,15,4
Monday,25-12-23,3,7,40,5,3
Tuesday,26-12-23,3,10,17,27,5
Wednesday,27-12-23,3,7,10,15,3
Thursday,28-12-23,3,5,45,42,3
Friday,29-12-23,3,10,23,11,5
Saturday,30-12-23,3,3,43,44,2
Sunday,31-12-23,3,4,27,38,3
Monday,01-01-24,3,8,25,24,1
Tuesday,02-01-24,3,4,23,15,1
Wednesday,03-01-24,3,3,23,9,2
Thursday,04-01-24,3,9,47,8,2
Friday,05-01-24,3,7,21,22,3
Saturday,06-01-24,3,7,41,18,2
Sunday,07-01-24,3,6,29,17,5
Monday,08-01-24,3,5,39,8,5
Tuesday,09-01-24,3,4,27,34,3
Wednesday,10-01-24,3,1,24,30,1
Thursday,11-01-24,3,5,25,33,1
Friday,12-01-24,3,9,44,43,5
Saturday,13-01-24,3,2,33,9,2
Sunday,14-01-24,3,3,20,37,2
Monday,15-01-24,3,6,49,15,4
Tuesday,16-01-24,3,9,16,13,4
Wednesday,17-01-24,3,1,10,43,1
Thursday,18-01-24,3,3,41,7,2
Friday,19-01-24,3,2,48,32,1
Saturday,20-01-24,3,6,46,7,2
Sunday,21-01-24,3,7,50,5,4
Monday,22-01-24,3,4,46,32,1
Tuesday,23-01-24,3,1,20,43,1
Wednesday,24-01-24,3,9,36,42,5
Thursday,25-01-24,3,10,40,38,5
Friday,26-01-24,3,10,22,27,5
Saturday,27-01-24,3,9,34,45,1
Sunday,28-01-24,3,6,10,32,1
Monday,29-01-24,3,10,30,18,4
Tuesday,30-01-24,3,1,44,6,1
Wednesday,31-01-24,3,9,36,27,2
Thursday,01-02-24,3,9,15,22,5
Friday,02-02-24,3,9,14,33,2
Saturday,03-02-24,3,5,23,39,5
Sunday,04-02-24,3,7,28,19,4
Monday,05-02-24,3,4,24,38,1
Tuesday,06-02-24,3,1,20,43,5
Wednesday,07-02-24,3,4,31,26,4
Thursday,08-02-24,3,10,18,40,2
Friday,09-02-24,3,10,37,8,4
Saturday,10-02-24,3,2,25,28,1
Sunday,11-02-24,3,4,17,12,4
Monday,12-02-24,3,7,12,39,5
Tuesday,13-02-24,3,4,25,19,4
Wednesday,14-02-24,3,5,23,24,4
Thursday,15-02-24,3,9,41,22,5
Friday,16-02-24,3,9,26,19,4
Saturday,17-02-24,3,5,44,33,4
Sunday,18-02-24,3,1,39,34,2
Monday,19-02-24,3,8,21,42,2
Tuesday,20-02-24,3,5,30,24,3
Wednesday,21-02-24,3,9,48,28,4
Thursday,22-02-24,3,1,46,25,5
Friday,23-02-24,3,2,19,18,5
Saturday,24-02-24,3,9,49,25,3
Sunday,25-02-24,3,2,50,22,1
Monday,26-02-24,3,5,38,30,2
Tuesday,27-02-24,3,3,42,24,2
Wednesday,28-02-24,3,1,25,7,3
Thursday,29-02-24,3,9,13,31,2
Friday,01-03-24,3,9,42,38,1
Saturday,02-03-24,3,3,50,35,3
Sunday,03-03-24,3,1,23,16,5
Monday,04-03-24,3,4,19,12,2
Tuesday,05-03-24,3,2,12,35,4
Wednesday,06-03-24,3,2,19,40,1
Thursday,07-03-24,3,2,40,13,4
Friday,08-03-24,3,8,47,31,4
Saturday,09-03-24,3,2,48,44,1
Sunday,10-03-24,3,1,41,45,1
Monday,11-03-24,3,10,10,27,3
Tuesday,12-03-24,3,4,49,31,2
Wednesday,13-03-24,3,2,45,14,3
Thursday,14-03-24,3,2,21,28,2
Friday,15-03-24,3,6,49,36,5
Saturday,16-03-24,3,3,16,13,5
Sunday,17-03-24,3,10,46,13,1
Monday,18-03-24,3,4,27,28,4
Tuesday,19-03-24,3,6,33,19,5
Wednesday,20-03-24,3,2,21,21,4
Thursday,21-03-24,3,10,47,44,4
Friday,22-03-24,3,2,31,15,5
Saturday,23-03-24,3,10,45,24,3
Sunday,24-03-24,3,2,44,39,3
Monday,25-03-24,3,2,35,39,4
Tuesday,26-03-24,3,5,44,30,1
Wednesday,27-03-24,3,4,47,45,5
Thursday,28-03-24,3,5,16,28,5
Friday,29-03-24,3,6,44,23,2
Saturday,30-03-24,3,5,40,32,5
Sunday,31-03-24,3,1,24,6,5
Monday,01-04-24,3,8,48,16,4
Tuesday,02-04-24,3,1,31,10,1
Wednesday,03-04-24,3,3,22,40,4
Thursday,04-04-24,3,3,20,15,4
Friday,05-04-24,3,1,23,38,2
Saturday,06-04-24,3,3,19,7,2
Sunday,07-04-24,3,6,28,23,3
Monday,08-04-24,3,8,39,31,5
Tuesday,09-04-24,3,7,39,25,1
Wednesday,10-04-24,3,4,50,16,1
Thursday,11-04-24,3,5,23,9,5
Friday,12-04-24,3,8,10,29,4
Saturday,13-04-24,3,1,17,20,1
Sunday,14-04-24,3,10,48,16,4
Monday,15-04-24,3,9,11,22,5
Tuesday,16-04-24,3,1,26,41,4
Wednesday,17-04-24,3,8,10,36,2
Thursday,18-04-24,3,4,28,11,5
Friday,19-04-24,3,9,12,13,1
Saturday,20-04-24,3,4,33,38,5
Sunday,21-04-24,3,10,27,31,5
Monday,22-04-24,3,3,34,20,1
Tuesday,23-04-24,3,9,43,13,1
Wednesday,24-04-24,3,4,23,21,1
Thursday,25-04-24,3,6,42,23,1
Friday,26-04-24,3,10,14,16,1
Saturday,27-04-24,3,4,34,44,2
Sunday,28-04-24,3,6,13,36,1
Monday,29-04-24,3,6,11,14,4
Tuesday,30-04-24,3,7,43,26,1
Wednesday,01-05-24,3,1,43,36,1
Thursday,02-05-24,3,1,47,37,1
Friday,03-05-24,3,8,10,39,5
Saturday,04-05-24,3,5,44,35,5
Sunday,05-05-24,3,6,14,15,3
Monday,06-05-24,3,3,17,23,4
Tuesday,07-05-24,3,2,39,35,5
Wednesday,08-05-24,3,7,33,23,2
Thursday,09-05-24,3,1,15,30,3
Friday,10-05-24,3,3,39,16,5
Saturday,11-05-24,3,1,32,38,2
Sunday,12-05-24,3,2,17,24,5
Monday,13-05-24,3,7,40,41,1
Tuesday,14-05-24,3,5,45,31,3
Wednesday,15-05-24,3,5,26,42,3
Thursday,16-05-24,3,2,19,45,5
Friday,17-05-24,3,1,25,19,4
Saturday,18-05-24,3,10,32,18,4
Sunday,19-05-24,3,10,35,28,2
Monday,20-05-24,3,2,35,12,5
Tuesday,21-05-24,3,2,22,5,2
Wednesday,22-05-24,3,8,44,33,2
Thursday,23-05-24,3,10,37,33,1
Friday,24-05-24,3,3,49,14,3
Saturday,25-05-24,3,5,47,26,3
Sunday,26-05-24,3,3,12,40,2
Monday,27-05-24,3,8,29,31,2
Tuesday,28-05-24,3,8,24,13,1
Wednesday,29-05-24,3,10,25,16,4
Thursday,30-05-24,3,3,40,8,2
Friday,31-05-24,3,1,43,40,3
Saturday,01-06-24,3,10,41,5,3
Sunday,02-06-24,3,7,29,42,2
Monday,03-06-24,3,9,34,27,1
Tuesday,04-06-24,3,5,17,12,4
Wednesday,05-06-24,3,10,15,23,4
Thursday,06-06-24,3,3,11,22,4
Friday,07-06-24,3,10,19,9,2
Saturday,08-06-24,3,2,13,17,5
Sunday,09-06-24,3,2,48,25,4
Monday,10-06-24,3,3,38,43,4
Tuesday,11-06-24,3,6,42,13,3
Wednesday,12-06-24,3,7,35,33,4
Thursday,13-06-24,3,3,27,29,2
Friday,14-06-24,3,6,37,29,5
Saturday,15-06-24,3,7,48,29,3
Sunday,16-06-24,3,3,10,28,3
Monday,17-06-24,3,8,36,10,2
Tuesday,18-06-24,3,8,42,31,2
Wednesday,19-06-24,3,3,13,5,5
Thursday,20-06-24,3,3,17,28,4
Friday,21-06-24,3,2,37,42,4
Saturday,22-06-24,3,10,19,8,4
Sunday,23-06-24,3,6,21,9,3
Monday,24-06-24,3,9,22,9,3
Tuesday,25-06-24,3,2,48,12,4
Wednesday,26-06-24,3,1,46,33,4
Thursday,27-06-24,3,5,26,11,3
Friday,28-06-24,3,4,40,29,5
Saturday,29-06-24,3,10,30,14,5
Sunday,30-06-24,3,2,39,12,3
Monday,01-07-24,3,1,43,21,4
Tuesday,02-07-24,3,3,20,25,5
Wednesday,03-07-24,3,3,43,22,1
Thursday,04-07-24,3,8,33,43,3
Friday,05-07-24,3,2,14,27,4
Saturday,06-07-24,3,9,31,8,2
Sunday,07-07-24,3,10,30,11,2
Monday,08-07-24,3,1,24,21,5
Tuesday,09-07-24,3,8,31,27,4
Wednesday,10-07-24,3,5,26,39,2
Thursday,11-07-24,3,4,16,27,3
Friday,12-07-24,3,2,14,40,5
Saturday,13-07-24,3,5,11,21,4
Sunday,14-07-24,3,4,26,23,5
Monday,15-07-24,3,3,25,40,1
Tuesday,16-07-24,3,4,40,19,5
Wednesday,17-07-24,3,3,19,38,3
Thursday,18-07-24,3,10,47,16,5
Friday,19-07-24,3,8,28,19,1
Saturday,20-07-24,3,3,31,28,5
Sunday,21-07-24,3,7,38,42,1
Monday,22-07-24,3,5,10,7,5
Tuesday,23-07-24,3,3,45,29,1
Wednesday,24-07-24,3,2,22,32,2
Thursday,25-07-24,3,3,21,27,2
Friday,26-07-24,3,4,23,36,5
Saturday,27-07-24,3,10,23,18,4
Sunday,28-07-24,3,5,26,43,5
Monday,29-07-24,3,2,20,12,1
Tuesday,30-07-24,3,5,13,25,2
Wednesday,31-07-24,3,10,45,17,3
Thursday,01-08-24,3,8,41,19,3
Friday,02-08-24,3,1,39,45,2
Saturday,03-08-24,3,6,25,26,4
Sunday,04-08-24,3,4,42,25,1
Monday,05-08-24,3,10,32,35,1
Tuesday,06-08-24,3,7,14,9,1
Wednesday,07-08-24,3,4,34,42,3
Thursday,08-08-24,3,10,27,19,5
Friday,09-08-24,3,3,49,17,1
Saturday,10-08-24,3,4,34,33,3
Sunday,11-08-24,3,10,27,41,1
Monday,12-08-24,3,9,16,25,1
Tuesday,13-08-24,3,8,39,21,2
Wednesday,14-08-24,3,7,28,30,5
Thursday,15-08-24,3,9,35,25,1
Friday,16-08-24,3,1,36,41,5
Saturday,17-08-24,3,4,18,16,5
Sunday,18-08-24,3,2,25,34,1
Monday,19-08-24,3,6,42,6,3
Tuesday,20-08-24,3,8,49,18,1
Wednesday,21-08-24,3,5,23,7,2
Thursday,22-08-24,3,8,22,24,2
Friday,23-08-24,3,3,32,31,4
Saturday,24-08-24,3,6,31,16,4
Sunday,25-08-24,3,2,48,36,1
Monday,26-08-24,3,9,26,10,3
Tuesday,27-08-24,3,4,40,36,2
Wednesday,28-08-24,3,2,43,6,2
Thursday,29-08-24,3,1,14,15,5
Friday,30-08-24,3,4,26,41,4
Saturday,31-08-24,3,3,42,41,2
Sunday,01-09-24,3,6,45,15,5
Monday,02-09-24,3,5,20,40,5
Tuesday,03-09-24,3,4,50,13,3
Wednesday,04-09-24,3,4,49,22,4
Thursday,05-09-24,3,5,42,38,4
Friday,06-09-24,3,9,18,32,1
Saturday,07-09-24,3,4,46,15,1
Sunday,08-09-24,3,2,46,32,1
Monday,09-09-24,3,6,31,10,1
Tuesday,10-09-24,3,5,39,14,5
Wednesday,11-09-24,3,9,13,38,1
Thursday,12-09-24,3,4,50,43,1
Friday,13-09-24,3,2,32,39,3
Saturday,14-09-24,3,10,46,5,4
Sunday,15-09-24,3,2,21,40,1
Monday,16-09-24,3,8,10,31,4
Tuesday,17-09-24,3,2,27,26,1
Wednesday,18-09-24,3,8,21,10,1
Thursday,19-09-24,3,5,49,32,4
Friday,20-09-24,3,2,47,7,5
Saturday,21-09-24,3,10,13,16,3
Sunday,22-09-24,3,5,40,35,2
Monday,23-09-24,3,4,35,7,1
Tuesday,24-09-24,3,8,29,25,3
Wednesday,25-09-24,3,2,34,5,4
Thursday,26-09-24,3,4,34,9,3
Friday,27-09-24,3,10,40,15,3
Saturday,28-09-24,3,10,29,24,1
Sunday,29-09-24,3,8,15,29,5
Monday,30-09-24,3,5,49,41,1
Tuesday,01-10-24,3,3,49,45,2
Wednesday,02-10-24,3,8,43,5,2
Thursday,03-10-24,3,2,25,38,4
Friday,04-10-24,3,2,25,42,4
Saturday,05-10-24,3,5,15,38,3
Sunday,06-10-24,3,10,16,12,3
Monday,07-10-24,3,3,30,37,5
Tuesday,08-10-24,3,10,47,11,2
Wednesday,09-10-24,3,6,29,25,3
Thursday,10-10-24,3,2,50,7,2
Friday,11-10-24,3,8,43,25,1
Saturday,12-10-24,3,2,28,9,3
Sunday,13-10-24,3,8,24,33,3
Monday,14-10-24,3,10,30,27,1
Tuesday,15-10-24,3,4,40,36,4
Wednesday,16-10-24,3,3,18,33,3
Thursday,17-10-24,3,3,29,35,2
Friday,18-10-24,3,2,47,18,1
Saturday,19-10-24,3,2,35,7,5
Sunday,20-10-24,3,7,50,38,3
Monday,21-10-24,3,4,39,31,3
Tuesday,22-10-24,3,1,14,28,1
Wednesday,23-10-24,3,8,10,34,2
Thursday,24-10-24,3,3,32,11,2
Friday,25-10-24,3,6,33,27,4
Saturday,26-10-24,3,4,11,29,1
Sunday,27-10-24,3,5,13,15,4
Monday,28-10-24,3,2,17,7,1
Tuesday,29-10-24,3,3,30,19,5
Wednesday,30-10-24,3,3,41,21,4
Thursday,31-10-24,3,4,26,28,2
Friday,01-11-24,3,3,41,15,3
Saturday,02-11-24,3,3,25,43,4
Sunday,03-11-24,3,8,12,28,3
Monday,04-11-24,3,4,37,29,3
Tuesday,05-11-24,3,8,50,40,3
Wednesday,06-11-24,3,10,17,44,3
Thursday,07-11-24,3,6,41,29,4
Friday,08-11-24,3,4,45,12,4
Saturday,09-11-24,3,5,24,10,3
Sunday,10-11-24,3,8,17,26,4
Monday,11-11-24,3,1,40,22,2
Tuesday,12-11-24,3,6,28,40,3
Wednesday,13-11-24,3,10,20,13,2
Thursday,14-11-24,3,3,33,40,5
Friday,15-11-24,3,4,44,7,1
Saturday,16-11-24,3,3,21,28,4
Sunday,17-11-24,3,10,26,31,1
Monday,18-11-24,3,7,35,12,2
Tuesday,19-11-24,3,9,10,44,4
Wednesday,20-11-24,3,3,33,29,3
Thursday,21-11-24,3,7,24,5,3
Friday,22-11-24,3,3,42,6,5
Saturday,23-11-24,3,8,12,14,4
Sunday,24-11-24,3,6,16,6,1
Monday,25-11-24,3,10,44,36,4
Tuesday,26-11-24,3,8,45,19,5
Wednesday,27-11-24,3,9,39,27,2
Thursday,28-11-24,3,1,25,14,3
Friday,29-11-24,3,2,24,14,4
Saturday,30-11-24,3,4,32,27,1
Sunday,01-12-24,3,9,36,16,3
Monday,02-12-24,3,8,38,25,5
Tuesday,03-12-24,3,3,15,32,2
Wednesday,04-12-24,3,4,38,13,4
Thursday,05-12-24,3,5,21,43,5
Friday,06-12-24,3,2,30,40,5
Saturday,07-12-24,3,3,21,11,2
Sunday,08-12-24,3,5,32,9,1
Monday,09-12-24,3,5,38,38,5
Tuesday,10-12-24,3,5,10,27,1
Wednesday,11-12-24,3,6,38,27,5
Thursday,12-12-24,3,8,23,40,4
Friday,13-12-24,3,1,28,28,2
Saturday,14-12-24,3,6,34,10,5
Sunday,15-12-24,3,4,43,32,4
Monday,16-12-24,3,4,41,43,1
Tuesday,17-12-24,3,1,41,23,2
Wednesday,18-12-24,3,9,45,22,2
Thursday,19-12-24,3,8,10,14,5
Friday,20-12-24,3,6,41,32,2
Saturday,21-12-24,3,9,13,29,3
Sunday,22-12-24,3,8,29,19,5
Monday,23-12-24,3,3,43,35,1
Tuesday,24-12-24,3,9,38,40,4
Wednesday,25-12-24,3,4,28,15,1
Thursday,26-12-24,3,1,10,12,5
Friday,27-12-24,3,5,30,37,1
Saturday,28-12-24,3,2,43,7,1
Sunday,29-12-24,3,10,39,12,1
Monday,30-12-24,3,9,30,9,2
Tuesday,31-12-24,3,9,32,9,3
Wednesday,01-01-25,3,1,27,21,5
Thursday,02-01-25,3,9,15,11,4
Friday,03-01-25,3,4,47,17,5
Saturday,04-01-25,3,8,30,5,4
Sunday,05-01-25,3,5,43,12,2
Monday,06-01-25,3,9,44,6,2
Tuesday,07-01-25,3,1,16,8,5
Wednesday,08-01-25,3,9,40,26,1
Thursday,09-01-25,3,6,23,11,2
Friday,10-01-25,3,3,41,32,5
Saturday,11-01-25,3,5,11,34,4
Sunday,12-01-25,3,3,46,45,5
Monday,13-01-25,3,10,35,34,3
Tuesday,14-01-25,3,1,17,35,5
Wednesday,15-01-25,3,6,41,9,4
Thursday,16-01-25,3,9,33,24,5
Friday,17-01-25,3,8,47,44,3
Saturday,18-01-25,3,10,35,41,3
Sunday,19-01-25,3,6,43,23,4
Monday,20-01-25,3,3,31,33,2
Tuesday,21-01-25,3,5,11,43,4
Wednesday,22-01-25,3,7,32,43,3
Thursday,23-01-25,3,9,49,39,5
Friday,24-01-25,3,8,10,45,5
Saturday,25-01-25,3,5,50,30,1
Sunday,26-01-25,3,10,50,20,5
Monday,27-01-25,3,1,46,11,2
Tuesday,28-01-25,3,3,48,14,1
Wednesday,29-01-25,3,5,39,11,1
Thursday,30-01-25,3,9,33,28,3
Friday,31-01-25,3,9,10,35,4
Saturday,01-02-25,3,3,35,13,2
Sunday,02-02-25,3,10,19,5,1
Monday,03-02-25,3,8,34,39,1
Tuesday,04-02-25,3,5,26,26,5
Wednesday,05-02-25,3,5,47,42,1
Thursday,06-02-25,3,2,30,36,3
Friday,07-02-25,3,4,34,13,1
Saturday,08-02-25,3,7,34,18,1
Sunday,09-02-25,3,7,36,45,1
Monday,10-02-25,3,10,35,24,5
Tuesday,11-02-25,3,1,29,36,2
Wednesday,12-02-25,3,3,47,22,1
Thursday,13-02-25,3,1,39,9,2
Friday,14-02-25,3,10,37,44,4
Saturday,15-02-25,3,6,36,31,2
Sunday,16-02-25,3,5,30,14,3
Monday,17-02-25,3,5,49,14,2
Tuesday,18-02-25,3,5,18,8,4
Wednesday,19-02-25,3,1,34,9,4
Thursday,20-02-25,3,10,26,43,4
Friday,21-02-25,3,7,19,30,4
Saturday,22-02-25,3,5,29,27,3
Sunday,23-02-25,3,4,49,5,3
Monday,24-02-25,3,2,17,29,4
Tuesday,25-02-25,3,9,11,36,1
Wednesday,26-02-25,3,1,25,5,2
Thursday,27-02-25,3,7,46,22,5
Friday,28-02-25,3,5,11,17,1
Saturday,01-03-25,3,1,10,45,2
Sunday,02-03-25,3,2,31,37,1
Monday,03-03-25,3,6,15,43,3
Tuesday,04-03-25,3,3,15,40,2
Wednesday,05-03-25,3,4,26,5,3
Thursday,06-03-25,3,9,32,17,4
Friday,07-03-25,3,6,38,28,5
Saturday,08-03-25,3,5,50,40,3
Sunday,09-03-25,3,10,35,36,2
Monday,10-03-25,3,10,36,6,1
Tuesday,11-03-25,3,4,48,6,5
Wednesday,12-03-25,3,6,37,31,3
Thursday,13-03-25,3,9,18,12,5
Friday,14-03-25,3,3,38,8,3
Saturday,15-03-25,3,5,28,37,1
Sunday,16-03-25,3,4,24,18,1
Monday,17-03-25,3,6,38,15,4
Tuesday,18-03-25,3,2,38,42,2
Wednesday,19-03-25,3,6,35,5,1
Thursday,20-03-25,3,9,46,18,5
Friday,21-03-25,3,1,13,11,2
Saturday,22-03-25,3,9,20,35,5
Sunday,23-03-25,3,9,43,28,3
Monday,24-03-25,3,7,44,34,2
Tuesday,25-03-25,3,4,49,12,5
Wednesday,26-03-25,3,1,39,15,4
Thursday,27-03-25,3,9,37,38,4
Friday,28-03-25,3,8,31,44,3
Saturday,29-03-25,3,2,50,43,3
Sunday,30-03-25,3,3,19,43,2
Monday,31-03-25,3,3,17,14,5
Tuesday,01-04-25,3,9,31,6,2
Wednesday,02-04-25,3,6,36,11,4
Thursday,03-04-25,3,1,48,44,2
Friday,04-04-25,3,10,34,27,5
Saturday,05-04-25,3,10,41,34,1
Sunday,06-04-25,3,8,33,15,1
Monday,07-04-25,3,1,48,8,5
Tuesday,08-04-25,3,6,10,17,3
Wednesday,09-04-25,3,3,48,38,1
Thursday,10-04-25,3,1,17,37,4
Friday,11-04-25,3,6,35,9,3
Saturday,12-04-25,3,7,42,8,5
Sunday,13-04-25,3,4,44,42,2
Monday,14-04-25,3,5,48,31,5
Tuesday,15-04-25,3,10,28,28,2
Wednesday,16-04-25,3,5,48,21,1
Thursday,17-04-25,3,1,30,40,4
Friday,18-04-25,3,3,41,12,1
Saturday,19-04-25,3,7,42,36,1
Sunday,20-04-25,3,2,43,30,4
Monday,21-04-25,3,7,38,35,4
Tuesday,22-04-25,3,3,25,34,3
Wednesday,23-04-25,3,8,36,7,5
Thursday,24-04-25,3,2,23,26,1
Friday,25-04-25,3,4,22,39,1
Saturday,26-04-25,3,1,22,9,2
Sunday,27-04-25,3,5,45,21,1
Monday,28-04-25,3,4,33,22,2
Tuesday,29-04-25,3,9,28,43,2
Wednesday,30-04-25,3,10,47,28,3
Thursday,01-05-25,3,2,34,41,1
Friday,02-05-25,3,9,38,28,4
Saturday,03-05-25,3,3,47,26,4
Sunday,04-05-25,3,5,14,29,4
Monday,05-05-25,3,4,34,18,1
Tuesday,06-05-25,3,1,22,34,4
Wednesday,07-05-25,3,3,10,45,1
Thursday,08-05-25,3,3,34,9,3
Friday,09-05-25,3,2,29,44,1
Saturday,10-05-25,3,7,34,11,3
Sunday,11-05-25,3,1,20,33,5
Monday,12-05-25,3,3,40,41,3
Tuesday,13-05-25,3,9,38,28,1
Wednesday,14-05-25,3,3,34,17,1
Thursday,15-05-25,3,9,17,11,4
Friday,16-05-25,3,4,12,13,2
Saturday,17-05-25,3,9,38,36,3
Sunday,18-05-25,3,4,37,18,4
Monday,19-05-25,3,9,27,39,5
Tuesday,20-05-25,3,9,22,29,3
Wednesday,21-05-25,3,10,11,12,1
Thursday,22-05-25,3,10,17,12,5
Friday,23-05-25,3,2,15,13,1
Saturday,24-05-25,3,1,33,41,3
Sunday,25-05-25,3,2,32,41,3
Monday,26-05-25,3,9,49,27,2
Tuesday,27-05-25,3,3,32,30,5
Wednesday,28-05-25,3,10,10,19,2
Thursday,29-05-25,3,7,32,12,3
Friday,30-05-25,3,5,49,26,3
Saturday,31-05-25,3,4,46,41,4
Sunday,01-06-25,3,8,29,10,3
Monday,02-06-25,3,5,40,42,3
Tuesday,03-06-25,3,1,40,8,5
Wednesday,04-06-25,3,8,25,41,1
Thursday,05-06-25,3,10,47,13,3
Friday,06-06-25,3,9,13,26,1
Saturday,07-06-25,3,9,30,38,1
Sunday,08-06-25,3,7,31,34,1
Monday,09-06-25,3,10,42,38,2
Tuesday,10-06-25,3,3,16,7,2
Wednesday,11-06-25,3,5,35,32,2
Thursday,12-06-25,3,7,39,42,3
